carrier_code,dia_semana_despachado,cross_or_ff,zip_code,validacion_tel,cumplimiento
shipnow,2,1,1876,1,0
shipnow,3,1,1752,1,0
shipnow,3,1,1746,1,0
shipnow,3,1,1684,1,0
shipnow,3,1,1714,1,0
shipnow,3,1,1838,1,0
shipnow,3,1,1708,1,0
shipnow,1,1,1707,1,0
shipnow,1,1,1900,1,0
iflow,3,1,1900,1,0
shipnow,2,1,1744,1,0
shipnow,3,1,1644,1,0
shipnow,1,1,1669,1,0
shipnow,3,1,1621,1,0
shipnow,3,1,1886,1,0
shipnow,3,1,1754,1,0
shipnow,3,1,1824,1,0
shipnow,3,1,1856,1,0
shipnow,2,1,1675,1,0
iflow,3,1,1888,1,0
shipnow,3,1,1650,1,0
shipnow,3,1,1752,1,0
shipnow,3,1,1706,1,0
shipnow,3,1,1714,1,0
iflow,3,1,1716,1,0
shipnow,3,1,1854,1,0
iflow,3,1,1611,1,0
shipnow,3,1,1676,1,0
shipnow,3,1,1675,1,0
shipnow,3,1,1646,1,0
shipnow,4,1,1648,1,0
shipnow,4,1,1663,1,0
shipnow,4,1,1884,1,0
shipnow,4,1,1663,1,0
shipnow,4,1,1754,1,0
shipnow,4,1,1804,1,0
shipnow,3,1,1629,1,0
shipnow,4,1,1609,1,0
iflow,4,1,1900,1,0
shipnow,4,1,1651,1,0
iflow,3,1,1822,1,0
shipnow,4,1,1890,1,0
shipnow,2,1,1872,1,0
shipnow,4,1,1824,1,0
shipnow,3,1,1872,1,0
shipnow,3,1,1609,1,0
shipnow,4,1,1629,1,0
shipnow,2,1,1661,1,0
shipnow,1,1,1686,1,0
shipnow,4,1,1893,1,0
shipnow,2,1,1602,1,0
shipnow,4,1,1893,1,0
iflow,1,1,1765,1,0
shipnow,2,1,1712,1,0
iflow,1,1,1888,1,0
shipnow,1,1,1629,1,1
shipnow,3,1,1661,1,0
shipnow,2,1,1625,1,0
shipnow,4,1,1900,1,0
shipnow,4,1,1663,1,0
shipnow,3,1,1856,1,0
shipnow,4,1,1636,1,0
shipnow,4,1,1629,1,0
iflow,1,0,1616,1,0
shipnow,4,1,1806,1,0
shipnow,1,1,1876,1,0
shipnow,1,1,1670,1,0
iflow,1,1,1849,1,0
iflow,1,1,1847,1,0
iflow,4,1,1888,1,0
shipnow,3,0,1896,1,0
shipnow,0,1,1884,1,0
shipnow,1,1,1900,1,0
shipnow,1,1,1650,1,0
shipnow,4,1,1882,1,0
shipnow,4,1,1832,1,0
iflow,1,1,1846,1,0
shipnow,1,1,1844,1,0
iflow,5,1,1900,1,0
shipnow,4,1,1842,1,0
iflow,1,1,1888,1,0
iflow,5,1,1900,1,0
shipnow,2,1,1614,1,0
shipnow,4,1,1824,1,0
shipnow,2,1,1642,1,0
shipnow,4,1,1824,1,0
shipnow,2,1,1722,1,0
shipnow,4,1,1878,1,0
shipnow,4,1,1648,1,0
shipnow,2,1,1834,1,0
iflow,4,1,1900,1,0
shipnow,3,0,1712,1,0
shipnow,3,1,1650,1,0
shipnow,4,1,1856,1,0
iflow,1,1,1849,1,0
shipnow,3,1,1682,1,0
shipnow,2,0,1875,1,0
